Id
Joseph Sambrook
Elisabeth Fritsch
Tom Maniatis
Keith E. Muller
Jacob Cohen
Peter A. Lachenbruch
David Moher
A. Liberati
Jennifer Tetzlaff
Douglas G. Altman
Matthew J. Page
Joanne E. McKenzie
Patrick M. Bossuyt
Isabelle Boutron
Tammy Hoffmann
Cynthia D. Mulrow
Larissa Shamseer
Elie A. Akl
Sue Brennan
Roger Chou
Julie Glanville
Jeremy Grimshaw
Asbjørn Hróbjartsson
Manoj M. Lalu
Tianjing Li
Elizabeth Loder
Evan Mayo‐Wilson
Steve McDonald
Luke A. McGuinness
Lesley Stewart
James Thomas
Andrea C. Tricco
Vivian Welch
Penny Whiting
Julian P. T. Higgins
Doug Altman
Peter C Gøtzsche
Peter Jüni
Andrew D Oxman
Jelena Savović
Kenneth F. Schulz
Laura Weeks
Jonathan Sterne
Beverley Shea
George A. Wells
Maarten Boers
Neil Andersson
Candyce Hamel
Ashley C Porter
Peter Tugwell
L.M. Bouter
Johannes B. Reitsma
David E. Bruns
Constantine Gatsonis
Paul Glasziou
Les Irwig
Jeroen G. Lijmer
Drummond Rennie
Henrica C. W. de Vet
Herbert Y. Kressel
Nader Rifai
Robert Golub
Lotty Hooft
Daniël A. Korevaar
Jérémie F. Cohen
Heather Colquhoun
Danielle Levac
Kelly K. O’Brien
Sharon E. Straus
Laure Perrier
Monika Kastner
John P. A. Ioannidis
Sander Greenland
Mark A. Hlatky
Muin J. Khoury
Malcolm Macleod
Robert Tibshirani
Iveta Simera
Simon G. Thompson
Jonathan J Deeks
Erik von Elm
Matthias Egger
Stuart Pocock
Jan P. Vandenbroucke
Carol Kilkenny
William J. Browne
Innes C. Cuthill
Michael Emerson
John J. Bartko
Patrick Royston
Karel G. M. Moons
Joris A. H. de Groot
Walter Bouwmeester
Yvonne Vergouwe
Susan Mallett
Gary S. Collins
Karel G.M. Moons
Diederick E. Grobbee
Johannes Schindelin
Ignacio Arganda‐Carreras
Erwin Frise
Verena Kaynig
Mark Longair
Tobias Pietzsch
Stephan Preibisch
Curtis Rueden
Stephan Saalfeld
Benjamin Schmid
Jean-Yves Tinévez
Daniel J. White
Volker Hartenstein
Kevin W. Eliceiri
Pavel Tomančák
Albert Cardona
Mark Hiner
Barry E. DeZonia
Alison E. Walter
Ellen T. Arena
Melissa Linkert
Chris Allan
Jean‐Marie Burel
William J. Moore
Andrew Patterson
Brian Loranger
Josh Moore
Carlos Neves
Donald MacDonald
Aleksandra Tarkowska
Caitlin Sticco
Emma Hill
Mike Rossner
Jason R. Swedlow
Caroline A Schneider
Wayne Rasband
Jill Francis
Martin Eccles
Marie Johnston
Anne Walker
Robbie Foy
Eileen Kaner
Liz Smith
Debbie Bonetti
Jayne F. Tierney
Davina Ghersi
Sarah Burdett
Matthew R. Sydes
Elaine Barnett-Page
Richard D Riley
Anna Chaimani
Dimitris Mavridis
Panagiota Spyridonos
Georgia Salanti
Saskia C. Sanderson
ID Tatt
Adriani Nikolakopoulou
Theodoros Papakonstantinou
Cinzia Del Giovane
A. E. Ades
Paul A. Harris
Robert Taylor
Robert J. Thielke
Jonathon Payne
Nathaniel Gonzalez
José G. Conde
Robert J. Taylor
Brenda L. Minor
Veida Elliott
Michelle Fernández
Lindsay O’Neal
Laura McLeod
Giovanni Delacqua
Francesco Delacqua
Jacqueline Kirby
Stephany N. Duda
Anselm L. Strauss
Juliet Corbin
Henri Guitton
Sidney Siegel
Gordon Guyatt
Gunn Elisabeth Vist
Regina Kunz
Yngve Falck–Ytter
Pablo Alonso‐Coello
Holger J. Schünemann
J. André Knottnerus
Ian R. White
John B. Carlin
Michael Spratt
Michael G. Kenward
Angela Wood
James R. Carpenter
Jiawei Han
Micheline Kamber
Jian Pei
Ming-Syan Chen⋆
Philip S. Yu
Hong Cheng
Dong Xin
Xifeng Yan
Guangchuang Yu
Li-Gen Wang
Yanyan Han
Qing‐Yu He
Tianzhi Wu
Erqiang Hu
Shuangbin Xu
Meijun Chen
Pingfan Guo
Zehan Dai
Tingze Feng
Lang Zhou
Wenli Tang
Li Zhan
Xiaocong Fu
Shanshan Liu
Xiaochen Bo
P. Armitage
Andy P. Field
Jeremy N. V. Miles
Raphael Gillett
Ian H. Witten
Eibe Frank
Mark A. Hall
Mark Hall
Geoffrey Holmes
Bernhard Pfahringer
Peter Reutemann
Trevor Hastie
J. Friedman
Jerome H. Friedman
Gareth James
Daniela Witten
John M. Chambers
Eric S. Lander
Lauren Linton
Bruce W. Birren
Chad Nusbaum
Michael C. Zody
Jennifer Baldwin
Keri Devon
Ken Dewar
Michael P. Doyle
William W. Fitzhugh
Roel Funke
Diane Gage
Katrina L. Harris
Andrew Heaford
John G. Howland
Lisa Kann
Jessica A. Lehoczky
R Paul Levine
Paul McEwan
Kevin McKernan
James C. Meldrim
Jill P. Mesirov
Cher Miranda
William Morris
Jerome W. Naylor
Christina Raymond
Mark Rosetti
Ralph Santos
Andrew Sheridan
Carrie Sougnez
Nicole Stange-Thomann
Nikola M. Stojanović
Aravind Subramanian
Dudley Wyman
Jane Rogers
John Sulston
R. Ainscough
Stephan Beck
David Bentley
John H. Burton
Christopher Clee
Nigel Carter
Alan Coulson
Rebecca Deadman
Panos Deloukas
Andrew Dunham
Ian Dunham
Richard Durbin
Lisa French
Darren Grafham
Simon G. Gregory
Tim Hubbard
Sean Humphray
Adrienne Hunt
Matthew C. Jones
Christine Lloyd
Amanda A. McMurray
Lucy Matthews
Simon Mercer
Sarah Milne
James C. Mullikin
Andrew J. Mungall
R. W. Plumb
Mark T. Ross
R. Shownkeen
Sarah Sims
R Waterston
