Work_ID,Title,Year,Cited_by,Authors,Author_IDs,Concepts
W2144634347,Molecular Cloning: A Laboratory Manual,2001,133517,Joseph Sambrook; Elisabeth Fritsch; Tom Maniatis,A5112152140; A5047742196; A5091116725,Cloning (programming); Computational biology; Chromatin
W4300870773,Statistical Power Analysis for the Behavioral Sciences,1989,83956,Keith E. Muller; Jacob Cohen,A5110163574; A5102808166,Statistical power; Power analysis; Statistical analysis
W2156098321,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,2009,80944,David Moher; A. Liberati; Jennifer Tetzlaff; Douglas G. Altman,A5068353058; A5113580052; A5076572041; A5042962646,Systematic review; Statement (logic); Computer science
W2167279371,Fiji: an open-source platform for biological-image analysis,2012,61316,Johannes Schindelin; Ignacio Arganda‐Carreras; Erwin Frise; Verena Kaynig; Mark Longair; Tobias Pietzsch; Stephan Preibisch; Curtis Rueden; Stephan Saalfeld; Benjamin Schmid; Jean-Yves Tinévez; Daniel J. White; Volker Hartenstein; Kevin W. Eliceiri; Pavel Tomančák; Albert Cardona,A5050085853; A5021284069; A5005279299; A5055757900; A5024201884; A5081122949; A5036369136; A5078540488; A5024381551; A5003321899; A5068316606; A5065589000; A5023873563; A5010413374; A5042671050; A5042603640,Plug-in; Scripting language; Software
W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,58608,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann; Cynthia D. Mulrow; Larissa Shamseer; Jennifer Tetzlaff; Elie A. Akl; Sue Brennan; Roger Chou; Julie Glanville; Jeremy Grimshaw; Asbjørn Hróbjartsson; Manoj M. Lalu; Tianjing Li; Elizabeth Loder; Evan Mayo‐Wilson; Steve McDonald; Luke A. McGuinness; Lesley Stewart; James Thomas; Andrea C. Tricco; Vivian Welch; Penny Whiting; David Moher,A5089979303; A5015844348; A5061726857; A5065028933; A5090700680; A5031204654; A5091561305; A5076572041; A5041615321; A5012486829; A5070442023; A5003504334; A5054403907; A5110728949; A5007813511; A5072760500; A5054045289; A5055917772; A5074391235; A5037094305; A5082927689; A5090183643; A5074901391; A5029006782; A5077388783; A5068353058,Checklist; Systematic review; Guideline
W2099540110,NIH Image to ImageJ: 25 years of image analysis,2012,58330,Caroline A Schneider; Wayne Rasband; Kevin W. Eliceiri,A5111881458; A5052725140; A5010413374,Software; Image (mathematics); Computer science
W2125435699,Measuring inconsistency in meta-analyses,2003,56771,Julian P. T. Higgins; Simon G. Thompson; Jonathan J Deeks; Douglas G. Altman,A5031195893; A5007606690; A5009420648; A5042962646,Computer science; Data science; Information retrieval
W2093274439,Research electronic data capture (REDCap)—A metadata-driven methodology and workflow process for providing translational research informatics support,2008,43451,Paul A. Harris; Robert Taylor; Robert J. Thielke; Jonathon Payne; Nathaniel Gonzalez; José G. Conde,A5016939870; A5028916333; A5023564623; A5108345375; A5057407051; A5108689992,Electronic data capture; Workflow; Metadata
W1658908529,Basics of qualitative research : techniques and procedures for developing grounded theory,1998,39197,Anselm L. Strauss; Juliet Corbin,A5108677812; A5002394578,Grounded theory; Computer science; Context (archaeology)
W2002664886,Nonparametric Statistics for the Behavioral Sciences,1958,36358,Henri Guitton; Sidney Siegel,A5042614574; A5111503488,Nonparametric statistics; Statistics; Econometrics
W1665332082,Principles and Practice of Structural Equation Modeling,1998,30753,Rex B. Kline,A5058995931,LISREL; Structural equation modeling; Path analysis (statistics)
W2098923148,The Cochrane Collaboration's tool for assessing risk of bias in randomised trials,2011,29811,Julian P. T. Higgins; Doug Altman; Peter C Gøtzsche; Peter Jüni; David Moher; Andrew D Oxman; Jelena Savović; Kenneth F. Schulz; Laura Weeks; Jonathan Sterne,A5031195893; A5112320499; A5002375158; A5038409870; A5068353058; A5082652200; A5016408852; A5056315210; A5111619792; A5015955757,Cochrane collaboration; Randomized controlled trial; Medicine
