Author1,Author2,Weight
David Moher,Jennifer Tetzlaff,3
David Moher,Douglas G. Altman,3
David Moher,Matthew J. Page,2
David Moher,Joanne E. McKenzie,2
David Moher,Patrick M. Bossuyt,3
David Moher,Isabelle Boutron,2
David Moher,Tammy Hoffmann,2
David Moher,Cynthia D. Mulrow,2
David Moher,Larissa Shamseer,2
David Moher,Elie A. Akl,2
David Moher,Sue Brennan,2
David Moher,Roger Chou,2
David Moher,Julie Glanville,2
David Moher,Jeremy Grimshaw,3
David Moher,Asbjørn Hróbjartsson,2
David Moher,Manoj M. Lalu,2
David Moher,Tianjing Li,2
David Moher,Elizabeth Loder,2
David Moher,Evan Mayo‐Wilson,2
David Moher,Steve McDonald,2
David Moher,Luke A. McGuinness,2
David Moher,Lesley Stewart,2
David Moher,James Thomas,2
David Moher,Andrea C. Tricco,3
David Moher,Vivian Welch,2
David Moher,Penny Whiting,2
David Moher,Kenneth F. Schulz,3
Jennifer Tetzlaff,Matthew J. Page,2
Jennifer Tetzlaff,Joanne E. McKenzie,2
Jennifer Tetzlaff,Patrick M. Bossuyt,2
Jennifer Tetzlaff,Isabelle Boutron,2
Jennifer Tetzlaff,Tammy Hoffmann,2
Jennifer Tetzlaff,Cynthia D. Mulrow,2
Jennifer Tetzlaff,Larissa Shamseer,2
Jennifer Tetzlaff,Elie A. Akl,2
Jennifer Tetzlaff,Sue Brennan,2
Jennifer Tetzlaff,Roger Chou,2
Jennifer Tetzlaff,Julie Glanville,2
Jennifer Tetzlaff,Jeremy Grimshaw,2
Jennifer Tetzlaff,Asbjørn Hróbjartsson,2
Jennifer Tetzlaff,Manoj M. Lalu,2
Jennifer Tetzlaff,Tianjing Li,2
Jennifer Tetzlaff,Elizabeth Loder,2
Jennifer Tetzlaff,Evan Mayo‐Wilson,2
Jennifer Tetzlaff,Steve McDonald,2
Jennifer Tetzlaff,Luke A. McGuinness,2
Jennifer Tetzlaff,Lesley Stewart,2
Jennifer Tetzlaff,James Thomas,2
Jennifer Tetzlaff,Andrea C. Tricco,2
Jennifer Tetzlaff,Vivian Welch,2
Jennifer Tetzlaff,Penny Whiting,2
Douglas G. Altman,Julian P. T. Higgins,3
Douglas G. Altman,Jonathan J Deeks,4
Douglas G. Altman,Carol Kilkenny,2
Douglas G. Altman,William J. Browne,2
Douglas G. Altman,Innes C. Cuthill,2
Douglas G. Altman,Michael Emerson,2
Douglas G. Altman,Johannes B. Reitsma,2
Douglas G. Altman,Patrick Royston,3
Douglas G. Altman,Yvonne Vergouwe,2
Johannes Schindelin,Curtis Rueden,3
Johannes Schindelin,Kevin W. Eliceiri,3
Johannes Schindelin,Mark Hiner,2
Curtis Rueden,Kevin W. Eliceiri,4
Curtis Rueden,Mark Hiner,2
Kevin W. Eliceiri,Mark Hiner,2
Matthew J. Page,Joanne E. McKenzie,2
Matthew J. Page,Patrick M. Bossuyt,2
Matthew J. Page,Isabelle Boutron,2
Matthew J. Page,Tammy Hoffmann,2
Matthew J. Page,Cynthia D. Mulrow,2
Matthew J. Page,Larissa Shamseer,2
Matthew J. Page,Elie A. Akl,2
Matthew J. Page,Sue Brennan,2
Matthew J. Page,Roger Chou,2
Matthew J. Page,Julie Glanville,2
Matthew J. Page,Jeremy Grimshaw,2
Matthew J. Page,Asbjørn Hróbjartsson,2
Matthew J. Page,Manoj M. Lalu,2
Matthew J. Page,Tianjing Li,2
Matthew J. Page,Elizabeth Loder,2
Matthew J. Page,Evan Mayo‐Wilson,2
Matthew J. Page,Steve McDonald,2
Matthew J. Page,Luke A. McGuinness,2
Matthew J. Page,Lesley Stewart,2
Matthew J. Page,James Thomas,2
Matthew J. Page,Andrea C. Tricco,2
Matthew J. Page,Vivian Welch,2
Matthew J. Page,Penny Whiting,2
Joanne E. McKenzie,Patrick M. Bossuyt,2
Joanne E. McKenzie,Isabelle Boutron,2
Joanne E. McKenzie,Tammy Hoffmann,2
Joanne E. McKenzie,Cynthia D. Mulrow,2
Joanne E. McKenzie,Larissa Shamseer,2
Joanne E. McKenzie,Elie A. Akl,2
Joanne E. McKenzie,Sue Brennan,2
Joanne E. McKenzie,Roger Chou,2
Joanne E. McKenzie,Julie Glanville,2
Joanne E. McKenzie,Jeremy Grimshaw,2
Joanne E. McKenzie,Asbjørn Hróbjartsson,2
Joanne E. McKenzie,Manoj M. Lalu,2
Joanne E. McKenzie,Tianjing Li,2
Joanne E. McKenzie,Elizabeth Loder,2
Joanne E. McKenzie,Evan Mayo‐Wilson,2
Joanne E. McKenzie,Steve McDonald,2
Joanne E. McKenzie,Luke A. McGuinness,2
Joanne E. McKenzie,Lesley Stewart,2
Joanne E. McKenzie,James Thomas,2
Joanne E. McKenzie,Andrea C. Tricco,2
Joanne E. McKenzie,Vivian Welch,2
Joanne E. McKenzie,Penny Whiting,2
Patrick M. Bossuyt,Isabelle Boutron,2
Patrick M. Bossuyt,Tammy Hoffmann,2
Patrick M. Bossuyt,Cynthia D. Mulrow,2
Patrick M. Bossuyt,Larissa Shamseer,2
Patrick M. Bossuyt,Elie A. Akl,2
Patrick M. Bossuyt,Sue Brennan,2
Patrick M. Bossuyt,Roger Chou,2
Patrick M. Bossuyt,Julie Glanville,2
Patrick M. Bossuyt,Jeremy Grimshaw,2
Patrick M. Bossuyt,Asbjørn Hróbjartsson,2
Patrick M. Bossuyt,Manoj M. Lalu,2
Patrick M. Bossuyt,Tianjing Li,2
Patrick M. Bossuyt,Elizabeth Loder,2
Patrick M. Bossuyt,Evan Mayo‐Wilson,2
Patrick M. Bossuyt,Steve McDonald,2
Patrick M. Bossuyt,Luke A. McGuinness,2
Patrick M. Bossuyt,Lesley Stewart,2
Patrick M. Bossuyt,James Thomas,2
Patrick M. Bossuyt,Andrea C. Tricco,2
Patrick M. Bossuyt,Vivian Welch,2
Patrick M. Bossuyt,Penny Whiting,2
Isabelle Boutron,Tammy Hoffmann,2
Isabelle Boutron,Cynthia D. Mulrow,2
Isabelle Boutron,Larissa Shamseer,2
Isabelle Boutron,Elie A. Akl,2
Isabelle Boutron,Sue Brennan,2
Isabelle Boutron,Roger Chou,2
Isabelle Boutron,Julie Glanville,2
Isabelle Boutron,Jeremy Grimshaw,2
Isabelle Boutron,Asbjørn Hróbjartsson,2
Isabelle Boutron,Manoj M. Lalu,2
Isabelle Boutron,Tianjing Li,2
Isabelle Boutron,Elizabeth Loder,2
Isabelle Boutron,Evan Mayo‐Wilson,2
Isabelle Boutron,Steve McDonald,2
Isabelle Boutron,Luke A. McGuinness,2
Isabelle Boutron,Lesley Stewart,2
Isabelle Boutron,James Thomas,2
Isabelle Boutron,Andrea C. Tricco,2
Isabelle Boutron,Vivian Welch,2
Isabelle Boutron,Penny Whiting,2
Tammy Hoffmann,Cynthia D. Mulrow,2
Tammy Hoffmann,Larissa Shamseer,2
Tammy Hoffmann,Elie A. Akl,2
Tammy Hoffmann,Sue Brennan,2
Tammy Hoffmann,Roger Chou,2
Tammy Hoffmann,Julie Glanville,2
Tammy Hoffmann,Jeremy Grimshaw,2
Tammy Hoffmann,Asbjørn Hróbjartsson,2
Tammy Hoffmann,Manoj M. Lalu,2
Tammy Hoffmann,Tianjing Li,2
Tammy Hoffmann,Elizabeth Loder,2
Tammy Hoffmann,Evan Mayo‐Wilson,2
Tammy Hoffmann,Steve McDonald,2
Tammy Hoffmann,Luke A. McGuinness,2
Tammy Hoffmann,Lesley Stewart,2
Tammy Hoffmann,James Thomas,2
Tammy Hoffmann,Andrea C. Tricco,2
Tammy Hoffmann,Vivian Welch,2
Tammy Hoffmann,Penny Whiting,2
Cynthia D. Mulrow,Larissa Shamseer,2
Cynthia D. Mulrow,Elie A. Akl,2
Cynthia D. Mulrow,Sue Brennan,2
Cynthia D. Mulrow,Roger Chou,2
Cynthia D. Mulrow,Julie Glanville,2
Cynthia D. Mulrow,Jeremy Grimshaw,2
Cynthia D. Mulrow,Asbjørn Hróbjartsson,2
Cynthia D. Mulrow,Manoj M. Lalu,2
Cynthia D. Mulrow,Tianjing Li,2
Cynthia D. Mulrow,Elizabeth Loder,2
Cynthia D. Mulrow,Evan Mayo‐Wilson,2
Cynthia D. Mulrow,Steve McDonald,2
Cynthia D. Mulrow,Luke A. McGuinness,2
Cynthia D. Mulrow,Lesley Stewart,2
Cynthia D. Mulrow,James Thomas,2
Cynthia D. Mulrow,Andrea C. Tricco,2
Cynthia D. Mulrow,Vivian Welch,2
Cynthia D. Mulrow,Penny Whiting,2
Larissa Shamseer,Elie A. Akl,2
Larissa Shamseer,Sue Brennan,2
Larissa Shamseer,Roger Chou,2
Larissa Shamseer,Julie Glanville,2
Larissa Shamseer,Jeremy Grimshaw,2
Larissa Shamseer,Asbjørn Hróbjartsson,2
Larissa Shamseer,Manoj M. Lalu,2
Larissa Shamseer,Tianjing Li,2
Larissa Shamseer,Elizabeth Loder,2
Larissa Shamseer,Evan Mayo‐Wilson,2
Larissa Shamseer,Steve McDonald,2
Larissa Shamseer,Luke A. McGuinness,2
Larissa Shamseer,Lesley Stewart,2
Larissa Shamseer,James Thomas,2
Larissa Shamseer,Andrea C. Tricco,2
Larissa Shamseer,Vivian Welch,2
Larissa Shamseer,Penny Whiting,2
Elie A. Akl,Sue Brennan,2
Elie A. Akl,Roger Chou,2
Elie A. Akl,Julie Glanville,2
Elie A. Akl,Jeremy Grimshaw,2
Elie A. Akl,Asbjørn Hróbjartsson,2
Elie A. Akl,Manoj M. Lalu,2
Elie A. Akl,Tianjing Li,2
Elie A. Akl,Elizabeth Loder,2
Elie A. Akl,Evan Mayo‐Wilson,2
Elie A. Akl,Steve McDonald,2
Elie A. Akl,Luke A. McGuinness,2
Elie A. Akl,Lesley Stewart,2
Elie A. Akl,James Thomas,2
Elie A. Akl,Andrea C. Tricco,2
Elie A. Akl,Vivian Welch,2
Elie A. Akl,Penny Whiting,2
Sue Brennan,Roger Chou,2
Sue Brennan,Julie Glanville,2
Sue Brennan,Jeremy Grimshaw,2
Sue Brennan,Asbjørn Hróbjartsson,2
Sue Brennan,Manoj M. Lalu,2
Sue Brennan,Tianjing Li,2
Sue Brennan,Elizabeth Loder,2
Sue Brennan,Evan Mayo‐Wilson,2
Sue Brennan,Steve McDonald,2
Sue Brennan,Luke A. McGuinness,2
Sue Brennan,Lesley Stewart,2
Sue Brennan,James Thomas,2
Sue Brennan,Andrea C. Tricco,2
Sue Brennan,Vivian Welch,2
Sue Brennan,Penny Whiting,2
Roger Chou,Julie Glanville,2
Roger Chou,Jeremy Grimshaw,2
Roger Chou,Asbjørn Hróbjartsson,2
Roger Chou,Manoj M. Lalu,2
Roger Chou,Tianjing Li,2
Roger Chou,Elizabeth Loder,2
Roger Chou,Evan Mayo‐Wilson,2
Roger Chou,Steve McDonald,2
Roger Chou,Luke A. McGuinness,2
Roger Chou,Lesley Stewart,2
Roger Chou,James Thomas,2
Roger Chou,Andrea C. Tricco,2
Roger Chou,Vivian Welch,2
Roger Chou,Penny Whiting,2
Julie Glanville,Jeremy Grimshaw,2
Julie Glanville,Asbjørn Hróbjartsson,2
Julie Glanville,Manoj M. Lalu,2
Julie Glanville,Tianjing Li,2
Julie Glanville,Elizabeth Loder,2
Julie Glanville,Evan Mayo‐Wilson,2
Julie Glanville,Steve McDonald,2
Julie Glanville,Luke A. McGuinness,2
Julie Glanville,Lesley Stewart,2
Julie Glanville,James Thomas,2
Julie Glanville,Andrea C. Tricco,2
Julie Glanville,Vivian Welch,2
Julie Glanville,Penny Whiting,2
Jeremy Grimshaw,Asbjørn Hróbjartsson,2
Jeremy Grimshaw,Manoj M. Lalu,2
Jeremy Grimshaw,Tianjing Li,2
Jeremy Grimshaw,Elizabeth Loder,2
Jeremy Grimshaw,Evan Mayo‐Wilson,2
Jeremy Grimshaw,Steve McDonald,2
Jeremy Grimshaw,Luke A. McGuinness,2
Jeremy Grimshaw,Lesley Stewart,2
Jeremy Grimshaw,James Thomas,2
Jeremy Grimshaw,Andrea C. Tricco,2
Jeremy Grimshaw,Vivian Welch,2
Jeremy Grimshaw,Penny Whiting,2
Asbjørn Hróbjartsson,Manoj M. Lalu,2
Asbjørn Hróbjartsson,Tianjing Li,2
Asbjørn Hróbjartsson,Elizabeth Loder,2
Asbjørn Hróbjartsson,Evan Mayo‐Wilson,2
Asbjørn Hróbjartsson,Steve McDonald,2
Asbjørn Hróbjartsson,Luke A. McGuinness,2
Asbjørn Hróbjartsson,Lesley Stewart,2
Asbjørn Hróbjartsson,James Thomas,2
Asbjørn Hróbjartsson,Andrea C. Tricco,2
Asbjørn Hróbjartsson,Vivian Welch,2
Asbjørn Hróbjartsson,Penny Whiting,2
Manoj M. Lalu,Tianjing Li,2
Manoj M. Lalu,Elizabeth Loder,2
Manoj M. Lalu,Evan Mayo‐Wilson,2
Manoj M. Lalu,Steve McDonald,2
Manoj M. Lalu,Luke A. McGuinness,2
Manoj M. Lalu,Lesley Stewart,2
Manoj M. Lalu,James Thomas,2
Manoj M. Lalu,Andrea C. Tricco,2
Manoj M. Lalu,Vivian Welch,2
Manoj M. Lalu,Penny Whiting,2
Tianjing Li,Elizabeth Loder,2
Tianjing Li,Evan Mayo‐Wilson,2
Tianjing Li,Steve McDonald,2
Tianjing Li,Luke A. McGuinness,2
Tianjing Li,Lesley Stewart,2
Tianjing Li,James Thomas,2
Tianjing Li,Andrea C. Tricco,2
Tianjing Li,Vivian Welch,2
Tianjing Li,Penny Whiting,2
Elizabeth Loder,Evan Mayo‐Wilson,2
Elizabeth Loder,Steve McDonald,2
Elizabeth Loder,Luke A. McGuinness,2
Elizabeth Loder,Lesley Stewart,2
Elizabeth Loder,James Thomas,2
Elizabeth Loder,Andrea C. Tricco,2
Elizabeth Loder,Vivian Welch,2
Elizabeth Loder,Penny Whiting,2
Evan Mayo‐Wilson,Steve McDonald,2
Evan Mayo‐Wilson,Luke A. McGuinness,2
