Id,Louvain,Leiden,FastGreedy,Degree,Betweenness,Closeness,Eigenvector,Name
Joseph Sambrook,0,0,0,0.00021713169037020953,0.0,0.00021713169037020953,6.699471125349575e-76,
Elisabeth Fritsch,0,0,0,0.00021713169037020953,0.0,0.00021713169037020953,6.699471125349575e-76,
Tom Maniatis,0,0,0,0.00021713169037020953,0.0,0.00021713169037020953,6.699471125349575e-76,
Keith E. Muller,1,1,1,0.00010856584518510477,0.0,0.00021713169037020953,4.598833082046146e-77,
Jacob Cohen,1,1,1,0.0003256975355553143,1.178782249566827e-07,0.00034741070459233525,8.497535515991328e-77,
Peter A. Lachenbruch,1,1,1,0.00021713169037020953,7.072693497400961e-08,0.0002895089204936127,6.5037321160198685e-77,
David Moher,2,2,2,0.007708175008142438,0.005794022495140753,0.05258518746925294,2.8199781360991097e-09,
A. Liberati,2,2,2,0.0003256975355553143,0.0,0.04452694036411641,2.4644585114609075e-11,
Jennifer Tetzlaff,2,2,2,0.0029312778199978287,1.0655181151298784e-05,0.044625972390653586,3.091453750833772e-11,
Douglas G. Altman,2,2,2,0.0045597654977744,0.0011356909730140204,0.04491485732294228,8.12594924283072e-11,
Matthew J. Page,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Joanne E. McKenzie,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Patrick M. Bossuyt,2,2,2,0.004342633807404191,2.2011625476113638e-05,0.04469044526191386,3.395189042803986e-11,
Isabelle Boutron,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Tammy Hoffmann,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Cynthia D. Mulrow,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Larissa Shamseer,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Elie A. Akl,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Sue Brennan,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Roger Chou,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Julie Glanville,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Jeremy Grimshaw,2,2,2,0.004451199652589295,0.0004991730253128168,0.044567035459893926,3.1753554228952107e-11,
Asbjørn Hróbjartsson,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Manoj M. Lalu,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Tianjing Li,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Elizabeth Loder,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
Evan Mayo‐Wilson,2,2,2,0.002714146129627619,0.0,0.04446826455171687,3.0027253627937505e-11,
