Id,Label,Degree
A5112152140,Joseph Sambrook,2
A5047742196,Elisabeth Fritsch,2
A5091116725,Tom Maniatis,2
A5110163574,Keith E. Muller,1
A5102808166,Jacob Cohen,2
A5068353058,David Moher,71
A5113580052,A. Liberati,3
A5076572041,Jennifer Tetzlaff,27
A5042962646,Douglas G. Altman,42
A5050085853,Johannes Schindelin,19
A5021284069,Ignacio Arganda‐Carreras,15
A5005279299,Erwin Frise,15
A5055757900,Verena Kaynig,15
A5024201884,Mark Longair,15
A5081122949,Tobias Pietzsch,15
A5036369136,Stephan Preibisch,15
A5078540488,Curtis Rueden,33
A5024381551,Stephan Saalfeld,15
A5003321899,Benjamin Schmid,15
A5068316606,Jean-Yves Tinévez,15
A5065589000,Daniel J. White,15
A5023873563,Volker Hartenstein,15
A5010413374,Kevin W. Eliceiri,35
A5042671050,Pavel Tomančák,15
A5042603640,Albert Cardona,15
A5089979303,Matthew J. Page,25
A5015844348,Joanne E. McKenzie,25
A5061726857,Patrick M. Bossuyt,40
A5065028933,Isabelle Boutron,25
A5090700680,Tammy Hoffmann,25
A5031204654,Cynthia D. Mulrow,25
A5091561305,Larissa Shamseer,25
A5041615321,Elie A. Akl,25
A5012486829,Sue Brennan,25
A5070442023,Roger Chou,25
A5003504334,Julie Glanville,25
A5054403907,Jeremy Grimshaw,41
A5110728949,Asbjørn Hróbjartsson,25
A5007813511,Manoj M. Lalu,25
A5072760500,Tianjing Li,25
A5054045289,Elizabeth Loder,25
A5055917772,Evan Mayo‐Wilson,25
A5074391235,Steve McDonald,25
A5037094305,Luke A. McGuinness,26
A5082927689,Lesley Stewart,29
A5090183643,James Thomas,26
A5074901391,Andrea C. Tricco,31
A5029006782,Vivian Welch,25
A5077388783,Penny Whiting,25
A5111881458,Caroline A Schneider,2
A5052725140,Wayne Rasband,2
A5031195893,Julian P. T. Higgins,26
A5007606690,Simon G. Thompson,3
A5009420648,Jonathan J Deeks,4
A5016939870,Paul A. Harris,15
A5028916333,Robert Taylor,5
A5023564623,Robert J. Thielke,5
A5108345375,Jonathon Payne,5
A5057407051,Nathaniel Gonzalez,5
A5108689992,José G. Conde,5
A5108677812,Anselm L. Strauss,1
A5002394578,Juliet Corbin,1
A5042614574,Henri Guitton,1
A5111503488,Sidney Siegel,1
A5058995931,Rex B. Kline,0
A5112320499,Doug Altman,9
A5002375158,Peter C Gøtzsche,14
A5038409870,Peter Jüni,9
A5082652200,Andrew D Oxman,17
A5016408852,Jelena Savović,9
A5056315210,Kenneth F. Schulz,17
A5111619792,Laura Weeks,9
A5015955757,Jonathan Sterne,16
A5019539533,Jiawei Han,7
A5033935560,Micheline Kamber,3
A5062247330,Jian Pei,3
A5027320896,Guangchuang Yu,16
A5018109589,Li-Gen Wang,3
A5101869812,Yanyan Han,3
A5100646656,Qing‐Yu He,3
A5031050247,Peter A. Lachenbruch,2
A5067146589,Andy P. Field,2
A5078043800,Jeremy N. V. Miles,1
A5045934263,Ian H. Witten,6
A5059992863,Eibe Frank,6
A5065290010,Mark A. Hall,2
A5045744709,Trevor Hastie,6
A5108251783,J. Friedman,2
A5027340494,Robert Tibshirani,12
A5108140420,Eric S. Lander,99
A5091229340,Lauren Linton,99
A5021669455,Bruce W. Birren,99
A5049581540,Chad Nusbaum,99
A5038698652,Michael C. Zody,99
A5089295208,Jennifer Baldwin,99
A5080184036,Keri Devon,99
A5066338056,Ken Dewar,99
A5058847615,Michael P. Doyle,99
A5006631993,William W. Fitzhugh,99
A5111904241,Roel Funke,99
A5001383727,Diane Gage,99
A5010992080,Katrina L. Harris,99
A5039655262,Andrew Heaford,99
A5088982920,John G. Howland,99
A5079561126,Lisa Kann,99
A5040260262,Jessica A. Lehoczky,99
A5045625713,R Paul Levine,99
A5048963768,Paul McEwan,99
A5023416939,Kevin McKernan,99
A5087297252,James C. Meldrim,99
A5077622597,Jill P. Mesirov,107
A5029081403,Cher Miranda,99
A5109400070,William Morris,99
A5025514420,Jerome W. Naylor,99
A5108778543,Christina Raymond,99
A5001820478,Mark Rosetti,99
A5043077854,Ralph Santos,99
A5034317303,Andrew Sheridan,99
A5080618346,Carrie Sougnez,99
A5090716657,Nicole Stange-Thomann,99
A5071769479,Nikola M. Stojanović,99
A5109532899,Aravind Subramanian,99
A5010677873,Dudley Wyman,99
A5107841318,Jane Rogers,99
A5018043809,John Sulston,99
A5110225175,R. Ainscough,99
A5017588786,Stephan Beck,99
A5109214093,David Bentley,99
A5111898752,John H. Burton,99
A5048041187,Christopher Clee,99
A5102094687,Nigel Carter,99
A5110225174,Alan Coulson,99
A5022965952,Rebecca Deadman,99
A5082712082,Panos Deloukas,99
A5082633816,Andrew Dunham,99
A5012080038,Ian Dunham,109
A5082040351,Richard Durbin,102
A5050511926,Lisa French,99
A5006835973,Darren Grafham,99
A5004078699,Simon G. Gregory,99
A5007549481,Tim Hubbard,150
A5035692364,Sean Humphray,99
A5102019094,Adrienne Hunt,99
A5103897730,Matthew C. Jones,99
A5041308386,Christine Lloyd,99
A5081044991,Amanda A. McMurray,99
A5104349268,Lucy Matthews,99
A5007133493,Simon Mercer,99
A5002456982,Sarah Milne,99
A5072393754,James C. Mullikin,99
A5052194762,Andrew J. Mungall,99
A5043582447,R. W. Plumb,99
A5104275873,Mark T. Ross,99
A5044012216,R. Shownkeen,99
A5023083359,Sarah Sims,99
A5074206499,R Waterston,99
A5105786443,Richard K. Wilson,99
A5106316839,LaDeana W. Hillier,99
A5047690257,John D. McPherson,99
A5070061359,Marco A. Marra,99
A5054642128,Elaine R. Mardis,125
A5108080792,Lucinda A. Fulton,99
A5023572924,Asif Chinwalla,196
A5002017954,Kymberlie Pepin,99
A5019579037,Warren Gish,99
A5050119930,Stephanie L. Chissoe,99
A5033154286,Michael C. Wendl,99
A5041520404,Kim D. Delehaunty,99
A5034614889,Tracie L. Miner,99
A5025839359,Andrew Delehaunty,99
A5069466922,Jason Kramer,99
A5102746555,Lisa L. Cook,99
A5061026009,Robert S. Fulton,196
A5071858954,D. Johnson,99
A5006986395,Patrick Minx,99
A5081176388,Sandra W. Clifton,196
A5018212413,Trevor Hawkins,99
A5082519222,Elbert Branscomb,99
A5020071768,Paul Predki,99
A5108082201,Paul Richardson,99
A5022255729,Sarah Wenning,99
A5110462789,Tom Slezak,99
A5010297697,Norman A. Doggett,99
A5021042434,Jan‐Fang Cheng,99
A5105408392,Anne S. Olsen,99
A5106716980,Susan Lucas,99
A5071062782,Christopher J. Elkin,99
A5034994000,Edward C. Uberbacher,99
A5109158404,M.E. Frazier,99
A5044319865,W. N. Venables,1
A5006582101,B. D. Ripley,1
A5107867713,Christopher Bishop,0
A5009556605,Yves Rosseel,0
A5064251359,Abraham. Savitzky,1
A5108411636,Marcel J. E. Golay,1
A5020427483,Jerome H. Friedman,2
A5111564046,A. Bondì,0
A5091771382,Robert J. Taylor,10
A5088605588,Brenda L. Minor,10
A5019832012,Veida Elliott,10
A5086831577,Michelle Fernández,10
A5058823353,Lindsay O’Neal,10
A5088803813,Laura McLeod,10
