video_id,title,description,published_at,channel,category_id,tags,view_count,like_count,comment_count
y0eJ-vzzEr8,"Warm October Jazz Music at Cozy Coffee Shop Ambience 🍂 Peaceful Fall Morning for Work,Stress Relief","Warm October Jazz Music at Cozy Coffee Shop Ambience Peaceful Fall Morning for Work,Stress Relief Welcome to the ...",2025-10-01T10:21:13Z,Cozy Coffee Shop,10,"['tranquil october jazz', 'peaceful fall jazz', 'autumn coffee shop ambience', 'cozy fall jazz music', 'october morning jazz', 'relaxing piano jazz', 'smooth autumn jazz playlist', 'cozy cafe ambience', 'relaxing jazz background music', 'autumn morning ambience', 'peaceful coffee shop jazz', 'soft october jazz', 'cozy fall coffee shop sounds', 'calming autumn jazz', 'relaxing autumn vibes', 'cozy coffee shop', 'cafe jazz', 'jazz music', 'coffee shop ambience', 'cozy jazz music', 'fall morning jazz', 'jazz 2025']",3077,1314,0
htk6MRjmcnQ,Huntrix - Golden (Lyrics) KPop Demon Hunters,Subscribe to 7clouds K-Pop channel: https://www.youtube.com/@UCAEHrhfV8zfLcl0XsE2kVVw Huntrix - Golden (Lyrics) KPop ...,2025-07-01T12:55:22Z,7clouds,10,"['golden', 'golden lyrics', 'lyrics golden', 'huntrix', 'lyrics', 'huntrix golden', 'golden huntrix', 'huntrix golden lyrics', 'lyrics huntrix golden', 'huntrix lyrics', 'huntrix lyrics golden', 'golden lyrics huntrix', 'lyrics golden huntrix', 'golden huntrix lyrics', 'kpop demon hunters', 'kpop demon hunters lyrics', 'kpop demon hunters soundtrack', 'audrey nuna', 'rei ami', 'ejae', 'huntr/x', 'kpop', ""We're goin' up up up"", ""It's our moment"", 'Gonna be gonna bе golden', 'Yeong-wonhi kkaеjil su eobsneun', 'kpop demon hunters songs']",71366257,440421,17402
Efw37llM4zA,DJ MIX 2025 - Remixes &amp; Mashups of Popular Songs 2025 | DJ Remix Club Music Disco DJ Mix 2024,DJ MIX 2025 - Remixes & Mashups of Popular Songs 2025 | DJ Remix Club Music Disco DJ Mix 2024 | Real mixed and selected ...,2025-10-01T09:00:06Z,Valentino Sirolli,10,"['dj remix song', 'disco remix nonstop new songs', 'dj song', 'remix 2025', 'dj', 'dj remix', 'remix song', 'dj mix', 'remix', 'dj mix 2025', 'dj songs', 'dj 2025', 'remix dj song', 'dance music', 'club music', 'mix', 'dj music', 'dj remix 2025', 'remix songs', 'club mix 2025', 'mix 2025', 'songs', 'disco 2025', 'dj song remix', 'english dj song', '2025 dj', 'new dj song', 'mix songs', 'disco', 'club mix', 'disco remix', 'party songs', 'disco music', 'remix dj', 'music new songs', 'club songs', 'party music', 'club remix', 'valentino sirolli']",7502,1614,108
fTKqtvXjkvo,Top Hits 2025 ~ Summer Playlist 2025 ~ Top Songs 2025 Trending Music 🎶🎧,"Welcome to your ultimate summer soundtrack. This summer playlist is packed with the top hits 2025, blending the biggest ...",2025-06-27T18:54:01Z,Revive Music,10,"['top hits', 'top songs', 'summer playlist', 'summer mix', 'top hits playlist', 'top hits 2025', 'music mix', 'pop songs', 'billboard hot 100', 'billboard top 50 this week', 'top 40 songs this week', 'best pop songs', 'top music', 'top 50 songs of the week', 'new songs', 'pop hits', 'new music', 'billboard 2025', 'top 100 songs', 'pop music', 'billboard top 100', 'road trip playlist', 'road trip music', 'road trip pov with music', 'car pov with music', 'driving pov with music']",11258306,30372,2031
T_KA5KdyyH0,"20 Ca Khúc Hay Nhất MÂY LANG THANG 2024 | Phan Mạnh Quỳnh, Vũ, Văn Mai Hương, Lâm Bảo Ngọc,.. Live","20 Ca Khúc Hay Nhất MÂY LANG THANG 2024 | Phan Mạnh Quỳnh, Vũ, Văn Mai Hương, Lâm Bảo Ngọc, Quốc Thiên, Chu Thúy ...",2025-06-15T11:00:53Z,Mây Lang Thang Music,22,"['20 Ca Khúc Hay Nhất MÂY LANG THANG 2024', 'Phan Mạnh Quỳnh', 'Vũ', 'Văn Mai Hương', 'Lâm Bảo Ngọc', 'quốc thiên', 'chu thúy quỳnh', 'thúy anh', 'lê hiếu', 'hiền thục', 'phạm hồng phước', 'phan mạnh quỳnh live', 'vũ live', 'văn mai hương live', 'lâm bảo ngọc live', 'quốc thiên live', 'chu thúy quỳnh live', 'thúy anh live', 'lê hiếu live', 'phan manh quynh', 'vu.', 'van mai huong', 'lam bao ngoc', 'quoc thien', 'chu thuy quynh', 'mây lang thang', 'nhạc trẻ', 'nhạc ballad', 'playlist nhạc trẻ hay nhất', 'may lang thang']",2296150,5228,258
V9PVRfjEBTI,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),Listen to HIT ME HARD AND SOFT: https://billieeilish.lnk.to/HITMEHARDANDSOFT Download BIRDS OF A FEATHER Live from ...,2024-09-27T15:00:38Z,BillieEilishVEVO,10,"['Billie Eilish', 'Darkroom/Interscope Records', 'Alternative']",570272530,4392422,119502
xGaZBfJOyAc,Lady Gaga - The Dead Dance (Official Music Video),"DO THE DEAD DANCE https://LadyGaga.lnk.to/TheDeadDance Directed by: Tim Burton Executive Produced by: Lady Gaga, ...",2025-09-03T16:00:07Z,LadyGagaVEVO,10,"['Lady Gaga', 'Interscope Records', 'Pop']",34582074,989226,61566
3iAiWIytqdw,Forever Young - Music Travel Love ft. Bugoy Drilon,"Get ""Forever Young"": Smart URL: https://lnk.to/5oxrLPPd Spotify: https://spoti.fi/4j3wJki iTunes: https://bit.ly/3RPNWSd Amazon: ...",2025-04-16T00:00:08Z,Music Travel Love,10,"['Music Travel Love', 'musictravellove', 'Forever Young', 'Forever Young Cover', 'Bugoy Drilon', 'Whang-od', 'MTL', 'Lyrics', 'Live', 'Cover', 'Philippines', 'Classic 80s Music', 'Forever Young Alphaville Cover', '80s Songs']",16402599,124735,4244
hK7E_E184js,Relaxing Heart Sutra Music for Meditation &amp; Sleep / 深く眠れる般若心経MUSIC [10-minute Zen Meditation],"Heart Sutra (般若心経) MUSIC – Modern Buddhist Chant for Deep Meditation Relaxing Zen Music for Sleep, Meditation, and Inner ...",2025-10-01T14:00:06Z,Kanho Yakushiji / 薬師寺寛邦 – Japanese Zen Music,10,"['meditation', 'japanesezenmusic', 'kanhoyakushiji', 'heartsutra', 'zen', 'buddhism', 'healing', '薬師寺寛邦', '药师寺宽邦', '藥師寺寬邦', '大悲呪', '大悲咒', 'NilakanthaDharani', '般若心経', '般若心經', '仏教', '日本', '京都', '僧侶', 'mindfulness', 'MeditationMusic', 'relaxing', 'Relax', 'HealingMusic', 'Mind', 'Soul', 'ZeeMusicCompany', 'ShekharRavjiani', 'mantra', 'Meditation', 'heal']",166,29,7
dssTSNwCH24,Ibiza Summer Mix 2025 🍓 Best Of Tropical Deep House Music Chill Out Mix 2024 🍓 Chillout Lounge,Ibiza Summer Mix 2025 Best Of Tropical Deep House Music Chill Out Mix 2024 Chillout Lounge Stream/Download: ...,2025-09-30T09:42:37Z,Magic Club,10,[],16023,3556,2
